iter,train_loss,val_loss,lr,step_time_ms,optimizer
1420,1.2527,,0.000292,584.22,adamw
1430,1.2328,,0.000285,583.42,adamw
1440,1.2342,,0.000280,584.71,adamw
1450,1.2165,,0.000274,585.00,adamw
1460,1.2222,,0.000268,585.60,adamw
1470,1.2061,,0.000262,585.53,adamw
1480,1.1939,,0.000256,585.97,adamw
1490,1.2210,,0.000251,585.83,adamw
1500,1.1365,1.4684,0.000245,,adamw
1500,1.1742,,0.000245,80936.62,adamw
1510,1.2236,,0.000240,586.65,adamw
1520,1.2080,,0.000234,583.57,adamw
1530,1.2409,,0.000229,587.69,adamw
1540,1.1802,,0.000224,585.02,adamw
1550,1.2213,,0.000219,585.14,adamw
1560,1.1931,,0.000214,585.38,adamw
1570,1.2154,,0.000209,586.81,adamw
1580,1.1923,,0.000204,587.01,adamw
1590,1.1760,,0.000200,570.48,adamw
1600,1.1843,,0.000195,586.52,adamw
1610,1.2188,,0.000190,582.39,adamw
1620,1.1697,,0.000186,572.86,adamw
1630,1.1890,,0.000182,584.36,adamw
1640,1.1887,,0.000177,586.44,adamw
1650,1.1665,,0.000173,585.16,adamw
1660,1.2033,,0.000169,582.23,adamw
1670,1.1889,,0.000165,587.35,adamw
1680,1.1859,,0.000162,585.33,adamw
1690,1.1904,,0.000158,584.68,adamw
1700,1.1813,,0.000154,570.80,adamw
1710,1.1707,,0.000151,570.63,adamw
1720,1.1667,,0.000147,584.78,adamw
1730,1.1948,,0.000144,585.80,adamw
1740,1.1580,,0.000141,589.10,adamw
1750,1.0974,1.4631,0.000138,,adamw
1750,1.1803,,0.000138,80913.95,adamw
1760,1.1809,,0.000135,586.58,adamw
1770,1.1904,,0.000132,583.67,adamw
1780,1.1862,,0.000129,585.49,adamw
1790,1.1885,,0.000127,584.35,adamw
1800,1.1757,,0.000124,585.50,adamw
1810,1.1577,,0.000122,572.65,adamw
1820,1.1698,,0.000120,573.69,adamw
1830,1.1618,,0.000118,584.21,adamw
1840,1.1598,,0.000116,584.96,adamw
1850,1.1603,,0.000114,582.40,adamw
1860,1.1778,,0.000112,583.27,adamw
1870,1.1509,,0.000110,586.76,adamw
1880,1.1794,,0.000109,584.48,adamw
1890,1.1717,,0.000107,581.69,adamw
1900,1.1350,,0.000106,583.45,adamw
1910,1.1627,,0.000105,571.08,adamw
1920,1.1739,,0.000104,585.35,adamw
1930,1.1570,,0.000103,585.20,adamw
1940,1.1391,,0.000102,583.53,adamw
1950,1.1425,,0.000102,584.09,adamw
1960,1.1679,,0.000101,584.47,adamw
1970,1.1598,,0.000101,572.83,adamw
1980,1.1601,,0.000100,571.05,adamw
1990,1.1645,,0.000100,570.45,adamw
2000,1.0732,1.4620,0.000100,,adamw
2000,1.1503,,0.000100,80876.24,adamw
