iter,train_loss,val_loss,lr,step_time_ms,optimizer
1200,1.4051,,0.000440,30.54,infrequentmuon
1210,1.3832,,0.000432,32.50,infrequentmuon
1220,1.4304,,0.000425,30.18,infrequentmuon
1230,1.4140,,0.000418,30.60,infrequentmuon
1240,1.4120,,0.000411,30.55,infrequentmuon
1250,1.2834,1.5318,0.000404,,infrequentmuon
1250,1.3841,,0.000404,74300.03,infrequentmuon
1260,1.3940,,0.000397,32.76,infrequentmuon
1270,1.3671,,0.000390,30.69,infrequentmuon
1280,1.3542,,0.000383,30.98,infrequentmuon
1290,1.3884,,0.000376,30.81,infrequentmuon
1300,1.3906,,0.000369,30.61,infrequentmuon
1310,1.3352,,0.000362,30.82,infrequentmuon
1320,1.3993,,0.000356,30.89,infrequentmuon
1330,1.3496,,0.000349,30.41,infrequentmuon
1340,1.3935,,0.000342,31.04,infrequentmuon
1350,1.3430,,0.000336,30.50,infrequentmuon
1360,1.3687,,0.000329,30.07,infrequentmuon
1370,1.3315,,0.000323,31.26,infrequentmuon
1380,1.3546,,0.000316,30.15,infrequentmuon
1390,1.3344,,0.000310,30.53,infrequentmuon
1400,1.3481,,0.000304,30.51,infrequentmuon
1410,1.3257,,0.000298,30.76,infrequentmuon
1420,1.3536,,0.000292,30.34,infrequentmuon
1430,1.3210,,0.000285,30.70,infrequentmuon
1440,1.3397,,0.000280,30.88,infrequentmuon
1450,1.3137,,0.000274,30.03,infrequentmuon
1460,1.3261,,0.000268,30.86,infrequentmuon
1470,1.3075,,0.000262,30.77,infrequentmuon
1480,1.2977,,0.000256,30.57,infrequentmuon
1490,1.3143,,0.000251,31.10,infrequentmuon
1500,1.2095,1.4967,0.000245,,infrequentmuon
1500,1.2698,,0.000245,74157.27,infrequentmuon
1510,1.3128,,0.000240,30.88,infrequentmuon
1520,1.2959,,0.000234,30.49,infrequentmuon
1530,1.3262,,0.000229,30.79,infrequentmuon
1540,1.2553,,0.000224,30.68,infrequentmuon
1550,1.3040,,0.000219,30.91,infrequentmuon
1560,1.2780,,0.000214,30.94,infrequentmuon
1570,1.3035,,0.000209,30.25,infrequentmuon
1580,1.2712,,0.000204,30.21,infrequentmuon
1590,1.2611,,0.000200,30.49,infrequentmuon
1600,1.2667,,0.000195,30.86,infrequentmuon
1610,1.2992,,0.000190,30.51,infrequentmuon
1620,1.2443,,0.000186,30.75,infrequentmuon
1630,1.2559,,0.000182,30.25,infrequentmuon
1640,1.2606,,0.000177,30.22,infrequentmuon
1650,1.2428,,0.000173,30.54,infrequentmuon
1660,1.2771,,0.000169,30.89,infrequentmuon
1670,1.2556,,0.000165,30.99,infrequentmuon
1680,1.2594,,0.000162,30.99,infrequentmuon
1690,1.2719,,0.000158,30.32,infrequentmuon
1700,1.2498,,0.000154,30.48,infrequentmuon
1710,1.2396,,0.000151,30.44,infrequentmuon
1720,1.2401,,0.000147,31.41,infrequentmuon
1730,1.2619,,0.000144,30.40,infrequentmuon
1740,1.2182,,0.000141,30.92,infrequentmuon
1750,1.1409,1.4743,0.000138,,infrequentmuon
1750,1.2461,,0.000138,74349.50,infrequentmuon
1760,1.2484,,0.000135,31.07,infrequentmuon
1770,1.2495,,0.000132,31.94,infrequentmuon
1780,1.2472,,0.000129,30.49,infrequentmuon
1790,1.2473,,0.000127,34.59,infrequentmuon
1800,1.2344,,0.000124,31.05,infrequentmuon
1810,1.2096,,0.000122,30.75,infrequentmuon
1820,1.2286,,0.000120,30.63,infrequentmuon
1830,1.2186,,0.000118,31.14,infrequentmuon
1840,1.2061,,0.000116,31.21,infrequentmuon
1850,1.2175,,0.000114,30.53,infrequentmuon
1860,1.2269,,0.000112,30.99,infrequentmuon
1870,1.1950,,0.000110,30.30,infrequentmuon
1880,1.2302,,0.000109,30.93,infrequentmuon
1890,1.2306,,0.000107,30.68,infrequentmuon
1900,1.1801,,0.000106,30.75,infrequentmuon
1910,1.2308,,0.000105,30.73,infrequentmuon
1920,1.2268,,0.000104,31.06,infrequentmuon
1930,1.2156,,0.000103,31.47,infrequentmuon
1940,1.1837,,0.000102,30.87,infrequentmuon
1950,1.1957,,0.000102,30.60,infrequentmuon
1960,1.2156,,0.000101,30.75,infrequentmuon
1970,1.2059,,0.000101,31.15,infrequentmuon
1980,1.2044,,0.000100,30.71,infrequentmuon
1990,1.2137,,0.000100,30.84,infrequentmuon
2000,1.0978,1.4637,0.000100,,infrequentmuon
2000,1.1976,,0.000100,74376.79,infrequentmuon
