iter,train_loss,val_loss,lr,step_time_ms,optimizer
1490,1.1666,,0.000251,626.68,muon
1500,1.0530,1.4366,0.000245,,muon
1500,1.1096,,0.000245,79850.33,muon
1510,1.1540,,0.000240,629.37,muon
1520,1.1564,,0.000234,628.27,muon
1530,1.1776,,0.000229,626.89,muon
1540,1.1137,,0.000224,627.20,muon
1550,1.1505,,0.000219,626.13,muon
1560,1.1366,,0.000214,625.32,muon
1570,1.1552,,0.000209,626.80,muon
1580,1.1213,,0.000204,626.55,muon
1590,1.1173,,0.000200,627.03,muon
1600,1.1203,,0.000195,626.65,muon
1610,1.1485,,0.000190,626.74,muon
1620,1.1040,,0.000186,628.95,muon
1630,1.1238,,0.000182,628.07,muon
1640,1.1145,,0.000177,627.73,muon
1650,1.0982,,0.000173,626.95,muon
1660,1.1359,,0.000169,625.97,muon
1670,1.1083,,0.000165,626.35,muon
1680,1.1033,,0.000162,626.45,muon
1690,1.1215,,0.000158,626.04,muon
1700,1.1003,,0.000154,625.23,muon
1710,1.0880,,0.000151,627.43,muon
1720,1.0854,,0.000147,627.79,muon
1730,1.1120,,0.000144,629.09,muon
1740,1.0701,,0.000141,627.67,muon
1750,0.9823,1.4408,0.000138,,muon
1750,1.0945,,0.000138,80241.18,muon
1760,1.0897,,0.000135,625.97,muon
1770,1.1080,,0.000132,626.77,muon
1780,1.1036,,0.000129,627.53,muon
1790,1.0991,,0.000127,625.44,muon
1800,1.0908,,0.000124,626.61,muon
1810,1.0699,,0.000122,628.07,muon
1820,1.0682,,0.000120,628.15,muon
1830,1.0724,,0.000118,627.87,muon
1840,1.0616,,0.000116,628.92,muon
1850,1.0600,,0.000114,626.42,muon
1860,1.0735,,0.000112,627.11,muon
1870,1.0474,,0.000110,626.99,muon
1880,1.0893,,0.000109,626.72,muon
1890,1.0676,,0.000107,626.94,muon
1900,1.0390,,0.000106,626.81,muon
1910,1.0675,,0.000105,626.62,muon
1920,1.0824,,0.000104,627.50,muon
1930,1.0452,,0.000103,629.12,muon
1940,1.0214,,0.000102,626.77,muon
1950,1.0457,,0.000102,627.29,muon
1960,1.0513,,0.000101,626.37,muon
1970,1.0562,,0.000101,626.50,muon
1980,1.0524,,0.000100,628.26,muon
1990,1.0518,,0.000100,627.26,muon
2000,0.9281,1.4558,0.000100,,muon
2000,1.0347,,0.000100,80161.73,muon
